date,open,high,low,mstr
2022-07-01 14:00:00,170.33,170.33,162.31,164.71
2022-07-01 15:00:00,164.5,167.41,163.57,164.165
2022-07-01 16:00:00,164.165,165.73,162.61,164.69
2022-07-01 17:00:00,164.69,166.89,163.98,166.77
2022-07-01 18:00:00,166.77,169.01,165.55,168.575
2022-07-01 19:00:00,168.575,168.575,165.73,166.98
2022-07-05 14:00:00,164.85,178.3,164.85,176.135
2022-07-05 15:00:00,176.135,177.05,171.39,176.785
2022-07-05 16:00:00,176.785,179.65,176.68,176.87
2022-07-05 17:00:00,176.87,182.75,176.87,181.15
2022-07-05 18:00:00,181.22,183.79,180.18,183.53
2022-07-05 19:00:00,183.53,188.15,182.78,187.73
2022-07-06 14:00:00,190.67,193.38,187.03,192.61
2022-07-06 15:00:00,192.175,192.175,183.37,185.27
2022-07-06 16:00:00,185.405,188.76,185.25,188.76
2022-07-06 17:00:00,188.72,189.44,188.24,188.41
2022-07-06 18:00:00,188.19,192.71,184.75,191.775
2022-07-06 19:00:00,192.44,193.33,187.81,188.97
2022-07-07 14:00:00,197.78,205.5,195.03,205.13
2022-07-07 15:00:00,205.29,208.96,203.82,207.0
2022-07-07 16:00:00,206.68,210.16,204.38,210.1
2022-07-07 17:00:00,209.85,213.03,208.55,212.09
2022-07-07 18:00:00,212.09,217.47,212.09,217.33
2022-07-07 19:00:00,217.18,220.05,215.9,220.01
2022-07-08 14:00:00,214.23,233.0,213.76,232.41
2022-07-08 15:00:00,234.08,236.16,227.98,229.19
2022-07-08 16:00:00,229.19,229.22,217.87,220.07
2022-07-08 17:00:00,220.07,224.5,216.15,222.26
2022-07-08 18:00:00,221.64,223.22,221.07,221.14
2022-07-08 19:00:00,221.14,222.72,219.46,221.09
2022-07-11 14:00:00,202.27,206.96,201.68,202.1
2022-07-11 15:00:00,202.1,204.11,199.29,199.39
2022-07-11 16:00:00,199.96,200.9,198.54,200.0
2022-07-11 17:00:00,200.08,204.82,199.98,203.66
2022-07-11 18:00:00,203.915,203.915,198.85,198.85
2022-07-11 19:00:00,198.89,201.72,198.0,200.625
2022-07-12 14:00:00,193.45,195.15,190.435,192.53
2022-07-12 15:00:00,192.56,195.26,192.0,192.52
2022-07-12 16:00:00,192.52,195.73,192.5,194.44
2022-07-12 17:00:00,194.44,194.89,192.99,194.84
2022-07-12 18:00:00,194.84,194.84,191.22,191.22
2022-07-12 19:00:00,191.22,193.16,188.25,192.79
2022-07-13 14:00:00,189.54,195.55,186.7,194.51
2022-07-13 15:00:00,194.51,195.49,190.66,191.31
2022-07-13 16:00:00,191.31,198.0,190.31,197.97
2022-07-13 17:00:00,197.99,203.56,197.99,203.52
2022-07-13 18:00:00,203.52,203.52,198.74,199.105
2022-07-13 19:00:00,199.105,199.105,194.78,195.81
2022-07-14 14:00:00,189.01,190.84,187.295,190.68
2022-07-14 15:00:00,191.545,204.16,191.545,204.16
2022-07-14 16:00:00,204.16,204.16,199.635,201.245
2022-07-14 17:00:00,201.185,201.94,199.04,201.83
2022-07-14 18:00:00,201.83,203.58,200.31,202.99
2022-07-14 19:00:00,203.42,205.375,201.63,204.34
2022-07-15 14:00:00,207.98,208.12,203.44,204.89
2022-07-15 15:00:00,204.8,208.92,204.8,207.65
2022-07-15 16:00:00,207.65,208.2,204.77,207.39
2022-07-15 17:00:00,207.39,209.85,207.39,209.64
2022-07-15 18:00:00,209.4,212.075,208.6,211.6
2022-07-15 19:00:00,211.6,213.94,211.06,213.76
2022-07-18 14:00:00,237.99,239.67,232.6,237.36
2022-07-18 15:00:00,237.36,244.41,235.63,243.79
2022-07-18 16:00:00,244.84,246.55,237.855,238.54
2022-07-18 17:00:00,238.54,240.04,231.49,231.88
2022-07-18 18:00:00,230.96,231.62,226.51,226.51
2022-07-18 19:00:00,226.67,228.61,224.53,226.54
2022-07-19 14:00:00,235.17,247.2,232.79,247.18
2022-07-19 15:00:00,247.54,257.48,247.28,257.48
2022-07-19 16:00:00,257.95,263.75,257.4,263.08
2022-07-19 17:00:00,263.025,267.69,259.02,267.69
2022-07-19 18:00:00,267.69,267.94,263.44,265.36
2022-07-19 19:00:00,265.36,268.66,265.02,267.05
2022-07-20 14:00:00,273.6,294.46,272.52,293.13
2022-07-20 15:00:00,294.04,299.01,289.86,296.78
2022-07-20 16:00:00,295.44,298.03,282.46,288.17
2022-07-20 17:00:00,288.7,288.71,276.065,276.18
2022-07-20 18:00:00,277.23,290.98,276.69,290.78
2022-07-20 19:00:00,290.99,296.72,285.94,287.65
2022-07-21 14:00:00,284.11,288.01,271.9,279.71
2022-07-21 15:00:00,279.92,285.14,279.02,283.61
2022-07-21 16:00:00,283.61,289.755,283.61,287.55
2022-07-21 17:00:00,287.48,290.45,281.58,282.37
2022-07-21 18:00:00,282.37,285.81,281.705,281.8
2022-07-21 19:00:00,282.51,289.71,282.39,289.14
2022-07-22 14:00:00,286.04,287.99,283.68,286.62
2022-07-22 15:00:00,286.62,286.99,275.11,276.98
2022-07-22 16:00:00,276.98,278.09,274.82,277.35
2022-07-22 17:00:00,277.35,277.52,275.17,276.6
2022-07-22 18:00:00,275.76,280.32,275.32,279.27
2022-07-22 19:00:00,279.28,283.09,277.32,281.44
2022-07-25 14:00:00,272.0,274.25,269.54,272.535
2022-07-25 15:00:00,272.425,273.2,268.56,270.51
2022-07-25 16:00:00,270.51,274.0,270.0,273.45
2022-07-25 17:00:00,273.45,274.69,270.935,270.935
2022-07-25 18:00:00,270.935,271.26,267.58,268.13
2022-07-25 19:00:00,268.13,268.13,262.7,265.93
2022-07-26 14:00:00,245.6,247.69,241.12,242.94
2022-07-26 15:00:00,243.23,244.04,239.1,239.1
2022-07-26 16:00:00,239.1,239.4,236.6,238.18
2022-07-26 17:00:00,238.18,242.71,238.18,241.06
2022-07-26 18:00:00,241.06,242.3,237.26,237.6
2022-07-26 19:00:00,237.62,238.76,235.89,237.7
2022-07-27 14:00:00,249.73,251.64,241.5,246.395
2022-07-27 15:00:00,246.17,248.34,245.18,247.1
2022-07-27 16:00:00,247.03,249.69,244.36,244.4
2022-07-27 17:00:00,244.57,247.53,243.78,245.87
2022-07-27 18:00:00,246.56,262.395,246.56,259.235
2022-07-27 19:00:00,260.39,268.15,260.39,262.635
2022-07-28 14:00:00,257.44,266.74,256.06,266.02
2022-07-28 15:00:00,266.1,276.13,264.505,274.12
2022-07-28 16:00:00,274.12,274.37,269.31,269.31
2022-07-28 17:00:00,269.31,276.6,267.61,274.43
2022-07-28 18:00:00,274.43,274.43,271.48,273.16
2022-07-28 19:00:00,273.16,276.125,272.96,275.94
2022-07-29 14:00:00,275.04,279.97,275.04,275.8
2022-07-29 15:00:00,274.84,275.26,270.72,273.63
2022-07-29 16:00:00,273.63,273.63,269.13,272.52
2022-07-29 17:00:00,272.52,274.515,271.595,273.91
2022-07-29 18:00:00,273.91,276.735,273.12,276.08
2022-07-29 19:00:00,276.08,287.29,275.55,286.75
2022-08-01 14:00:00,280.67,286.335,277.05,285.33
2022-08-01 15:00:00,285.33,286.2,280.7,284.24
2022-08-01 16:00:00,284.24,284.5,280.71,281.61
2022-08-01 17:00:00,281.61,281.61,272.78,274.52
2022-08-01 18:00:00,274.52,279.255,274.255,278.55
2022-08-01 19:00:00,278.55,278.55,274.82,276.57
2022-08-02 14:00:00,279.665,283.19,278.2,281.8
2022-08-02 15:00:00,282.9,289.27,280.0,289.01
2022-08-02 16:00:00,289.01,294.62,289.01,293.61
2022-08-02 17:00:00,292.45,292.45,281.485,283.66
2022-08-02 18:00:00,283.66,285.67,280.31,280.31
2022-08-02 19:00:00,280.31,283.085,278.17,278.17
2022-08-03 14:00:00,305.56,323.71,305.56,314.84
2022-08-03 15:00:00,314.84,323.065,312.45,319.94
2022-08-03 16:00:00,319.96,321.41,311.265,318.54
2022-08-03 17:00:00,317.845,318.37,311.48,311.6
2022-08-03 18:00:00,311.98,315.2,310.01,313.51
2022-08-03 19:00:00,313.51,316.4,308.565,313.5
2022-08-04 14:00:00,321.95,326.89,314.59,319.71
2022-08-04 15:00:00,319.85,321.87,306.325,315.06
2022-08-04 16:00:00,314.47,317.16,305.91,308.06
2022-08-04 17:00:00,308.36,311.075,306.32,308.75
2022-08-04 18:00:00,308.75,310.25,305.05,307.41
2022-08-04 19:00:00,307.41,310.76,306.6,308.76
2022-08-05 14:00:00,314.58,329.97,314.58,322.12
2022-08-05 15:00:00,322.12,322.12,309.25,312.64
2022-08-05 16:00:00,312.64,317.82,312.64,317.75
2022-08-05 17:00:00,317.75,321.51,316.09,316.64
2022-08-05 18:00:00,316.64,317.24,311.66,314.63
2022-08-05 19:00:00,315.34,320.15,314.06,319.26
2022-08-08 14:00:00,349.13,349.7,342.29,342.66
2022-08-08 15:00:00,342.66,344.02,331.45,335.65
2022-08-08 16:00:00,335.63,335.63,328.22,331.42
2022-08-08 17:00:00,331.42,334.3,330.46,334.06
2022-08-08 18:00:00,334.815,334.92,328.44,330.5
2022-08-08 19:00:00,330.7,331.14,328.06,329.94
2022-08-09 14:00:00,318.0,324.72,315.1,322.2
2022-08-09 15:00:00,322.05,326.2,321.865,322.0
2022-08-09 16:00:00,322.0,322.14,318.48,320.48
2022-08-09 17:00:00,320.27,321.2,316.765,316.9
2022-08-09 18:00:00,320.88,321.41,319.01,320.92
2022-08-09 19:00:00,320.92,320.99,318.05,319.26
2022-08-10 14:00:00,335.01,338.24,327.46,338.24
2022-08-10 15:00:00,337.96,340.87,335.87,340.87
2022-08-10 16:00:00,340.87,340.87,337.735,339.52
