date,open,high,low,mstr
2022-01-03 15:00:00,546.98,560.25,546.98,557.81
2022-01-03 16:00:00,558.45,559.83,549.43,549.43
2022-01-03 17:00:00,549.43,556.75,549.0,554.42
2022-01-03 18:00:00,553.285,555.295,551.96,553.45
2022-01-03 19:00:00,554.54,561.0,554.54,559.48
2022-01-03 20:00:00,559.73,561.36,556.33,558.48
2022-01-04 15:00:00,573.4,573.4,549.14,549.14
2022-01-04 16:00:00,548.02,554.5,545.49,551.63
2022-01-04 17:00:00,551.16,557.28,549.04,553.02
2022-01-04 18:00:00,553.6,555.09,535.905,536.82
2022-01-04 19:00:00,536.82,543.54,535.39,542.65
2022-01-04 20:00:00,542.14,552.33,542.14,551.83
2022-01-05 15:00:00,551.84,551.84,542.44,547.6
2022-01-05 16:00:00,547.6,549.0,540.0,540.0
2022-01-05 17:00:00,540.0,542.41,528.08,528.08
2022-01-05 18:00:00,525.73,533.3,523.9,532.89
2022-01-05 19:00:00,532.89,532.96,517.01,517.01
2022-01-05 20:00:00,515.56,516.14,508.4,509.7
2022-01-06 15:00:00,487.89,496.88,477.99,495.89
2022-01-06 16:00:00,496.8,503.095,493.18,500.7
2022-01-06 17:00:00,500.7,503.1,496.9,500.0
2022-01-06 18:00:00,499.29,503.52,495.06,503.48
2022-01-06 19:00:00,503.79,505.5,500.37,504.09
2022-01-06 20:00:00,504.09,507.6,498.5,498.53
2022-01-07 15:00:00,496.02,496.85,472.0,477.46
2022-01-07 16:00:00,477.46,487.315,474.07,487.315
2022-01-07 17:00:00,487.315,487.85,481.62,485.05
2022-01-07 18:00:00,485.05,485.895,481.09,481.09
2022-01-07 19:00:00,482.415,484.46,478.09,484.09
2022-01-07 20:00:00,484.09,487.51,481.8,483.38
2022-01-10 15:00:00,461.66,463.64,450.68,457.21
2022-01-10 16:00:00,456.53,477.8,455.19,474.58
2022-01-10 17:00:00,475.4,477.57,459.14,462.16
2022-01-10 18:00:00,463.92,468.94,463.7,467.01
2022-01-10 19:00:00,467.01,476.89,467.01,470.37
2022-01-10 20:00:00,471.11,481.79,467.99,481.79
2022-01-11 15:00:00,485.08,492.94,482.325,484.51
2022-01-11 16:00:00,484.11,509.99,484.005,506.74
