date,open,high,low,mstr
2025-01-02 15:00:00,309.64,310.23,297.37,298.43
2025-01-02 16:00:00,298.23,305.65,295.85,303.33
2025-01-02 17:00:00,303.61,306.33,296.595,299.41
2025-01-02 18:00:00,299.43,300.335,292.56,294.545
2025-01-02 19:00:00,294.36,299.24,293.45,296.17
2025-01-02 20:00:00,296.265,301.99,296.265,299.8
2025-01-03 15:00:00,309.05,317.97,304.39,317.56
2025-01-03 16:00:00,317.51,323.3,317.04,322.34
2025-01-03 17:00:00,322.77,329.9,321.96,329.9
2025-01-03 18:00:00,329.85,338.4,329.165,338.15
2025-01-03 19:00:00,337.78,341.31,337.425,339.49
2025-01-03 20:00:00,339.03,343.205,335.77,339.78
2025-01-06 15:00:00,353.415,364.65,352.48,360.035
2025-01-06 16:00:00,360.86,364.55,353.475,358.54
2025-01-06 17:00:00,358.51,362.965,354.105,362.92
2025-01-06 18:00:00,362.94,369.4,361.18,366.99
2025-01-06 19:00:00,367.74,373.82,365.05,369.76
2025-01-06 20:00:00,369.5,382.99,369.5,379.16
2025-01-07 15:00:00,361.58,361.84,343.76,352.83
2025-01-07 16:00:00,352.715,358.57,348.87,350.49
2025-01-07 17:00:00,350.52,351.1,342.49,344.93
2025-01-07 18:00:00,344.86,347.41,338.84,339.17
2025-01-07 19:00:00,339.14,343.21,335.54,336.53
2025-01-07 20:00:00,336.6,341.68,335.34,340.53
2025-01-08 15:00:00,336.04,341.35,331.67,338.98
2025-01-08 16:00:00,338.7,338.75,332.375,332.84
2025-01-08 17:00:00,332.86,332.86,317.4,327.95
2025-01-08 18:00:00,327.805,340.17,327.77,334.605
2025-01-08 19:00:00,333.71,337.695,330.53,333.62
2025-01-08 20:00:00,334.07,335.585,331.45,331.62
2025-01-10 15:00:00,330.77,333.18,317.99,325.69
2025-01-10 16:00:00,326.015,330.4,324.045,326.03
2025-01-10 17:00:00,326.2,336.92,325.75,336.92
2025-01-10 18:00:00,336.67,336.82,327.62,330.525
2025-01-10 19:00:00,330.61,333.02,325.79,333.02
2025-01-10 20:00:00,332.57,335.46,327.585,327.76
2025-01-13 16:00:00,327.76,327.76,309.73,310.39
2025-01-13 17:00:00,310.23,317.7,309.4,317.59
2025-01-13 18:00:00,317.44,320.39,315.8,319.905
2025-01-13 19:00:00,319.96,320.49,315.6,318.0
2025-01-13 20:00:00,317.96,329.33,316.14,328.51
2025-01-14 15:00:00,339.39,346.84,333.81,337.345
2025-01-14 16:00:00,337.52,339.26,331.35,335.22
2025-01-14 17:00:00,335.16,339.28,334.48,338.9
2025-01-14 18:00:00,338.88,349.54,337.5,347.335
2025-01-14 19:00:00,347.51,354.85,344.05,344.05
2025-01-14 20:00:00,344.82,345.32,337.15,342.26
2025-01-15 15:00:00,362.0,363.86,356.2,356.7
2025-01-15 16:00:00,358.18,362.23,356.78,360.04
2025-01-15 17:00:00,359.06,363.5,355.56,355.56
2025-01-15 18:00:00,355.865,359.62,355.865,359.37
2025-01-15 19:00:00,359.365,362.64,357.02,362.64
2025-01-15 20:00:00,362.745,368.365,359.04,360.68
2025-01-16 15:00:00,347.0,358.52,346.43,358.52
2025-01-16 16:00:00,358.5,363.27,357.53,359.71
2025-01-16 17:00:00,359.54,365.08,358.44,361.75
2025-01-16 18:00:00,361.76,363.74,357.325,361.09
2025-01-16 19:00:00,360.11,365.26,359.54,364.86
2025-01-16 20:00:00,364.83,370.175,364.4,366.795
2025-01-17 15:00:00,389.76,392.6,384.795,390.825
2025-01-17 16:00:00,390.65,395.05,389.34,393.58
