date,open,high,low,mstr
2024-01-02 15:00:00,704.89,718.22,698.31,710.745
2024-01-02 16:00:00,710.745,718.77,698.33,716.85
2024-01-02 17:00:00,716.85,716.85,692.495,692.495
2024-01-02 18:00:00,691.65,698.79,686.37,689.565
2024-01-02 19:00:00,690.52,694.545,685.0,688.325
2024-01-02 20:00:00,688.325,690.15,680.41,685.22
2024-01-03 15:00:00,637.29,644.08,628.225,641.56
2024-01-03 16:00:00,641.63,649.84,636.17,640.15
2024-01-03 17:00:00,641.5,642.59,632.61,637.01
2024-01-03 18:00:00,637.01,639.23,627.395,628.11
2024-01-03 19:00:00,628.8,637.76,625.77,630.41
2024-01-03 20:00:00,629.975,637.3,629.975,631.785
2024-01-04 15:00:00,643.35,666.62,643.35,661.015
2024-01-04 16:00:00,662.85,664.35,653.68,659.325
2024-01-04 17:00:00,659.325,661.125,652.27,655.91
2024-01-04 18:00:00,655.91,657.36,653.51,655.05
2024-01-04 19:00:00,655.05,659.415,650.44,653.78
2024-01-04 20:00:00,653.78,659.9,653.64,655.17
2024-01-05 15:00:00,638.8,653.53,638.8,647.49
2024-01-05 16:00:00,647.49,649.0,636.92,636.92
2024-01-05 17:00:00,636.92,641.09,634.595,640.65
2024-01-05 18:00:00,640.65,641.1,634.74,641.1
2024-01-05 19:00:00,639.55,641.21,631.99,632.41
2024-01-05 20:00:00,632.41,633.2,630.11,632.245
2024-01-08 15:00:00,605.5,623.68,587.24,614.11
2024-01-08 16:00:00,614.11,615.6,601.0,603.59
2024-01-08 17:00:00,604.215,605.5,593.18,601.71
2024-01-08 18:00:00,603.45,626.07,603.45,622.5
2024-01-08 19:00:00,623.66,623.66,609.905,611.505
2024-01-08 20:00:00,611.505,611.97,591.78,598.28
2024-01-09 15:00:00,585.415,588.01,575.905,576.29
2024-01-09 16:00:00,579.92,583.8,577.0,582.86
2024-01-09 17:00:00,582.77,585.29,579.99,585.13
2024-01-09 18:00:00,585.13,585.87,579.69,583.31
2024-01-09 19:00:00,583.98,583.98,579.62,582.91
2024-01-09 20:00:00,583.57,584.47,575.83,577.48
2024-01-10 15:00:00,557.95,580.09,556.0,578.555
2024-01-10 16:00:00,579.125,581.13,566.935,568.95
2024-01-10 17:00:00,568.17,585.67,565.0,584.74
2024-01-10 18:00:00,582.64,586.46,580.63,581.16
2024-01-10 19:00:00,582.905,583.97,571.5,575.885
2024-01-10 20:00:00,576.61,576.61,563.23,565.74
2024-01-11 15:00:00,578.44,578.68,536.4,540.805
2024-01-11 16:00:00,540.805,545.06,533.09,538.05
2024-01-11 17:00:00,538.05,543.0,530.83,542.0
2024-01-11 18:00:00,542.78,546.35,537.83,545.985
2024-01-11 19:00:00,547.135,550.915,543.23,550.105
2024-01-11 20:00:00,550.105,550.105,535.42,536.29
2024-01-12 15:00:00,518.79,518.79,494.48,497.67
2024-01-12 16:00:00,498.75,505.08,490.64,492.065
2024-01-12 17:00:00,492.77,494.28,488.6,494.28
2024-01-12 18:00:00,493.455,494.02,485.32,488.98
2024-01-12 19:00:00,490.15,490.59,482.17,482.64
2024-01-12 20:00:00,482.265,490.205,481.13,485.635
2024-01-16 15:00:00,480.29,489.06,478.37,484.69
2024-01-16 16:00:00,484.69,485.99,477.2,485.99
2024-01-16 17:00:00,485.99,487.985,483.76,485.71
2024-01-16 18:00:00,485.06,486.01,479.33,479.97
2024-01-16 19:00:00,479.97,481.31,478.05,480.5
2024-01-16 20:00:00,480.31,482.3,475.74,482.19
2024-01-17 15:00:00,478.785,484.69,478.095,479.165
2024-01-17 17:00:00,479.93,483.69,479.24,483.49
2024-01-17 18:00:00,483.75,487.74,483.495,486.89
2024-01-17 19:00:00,486.97,490.42,486.94,488.085
2024-01-17 20:00:00,488.02,498.11,487.12,497.97
2024-01-18 15:00:00,512.62,520.67,508.13,512.8
2024-01-18 16:00:00,512.73,512.73,495.69,496.92
2024-01-18 17:00:00,496.92,496.92,480.7,483.585
2024-01-18 18:00:00,483.745,485.17,478.0,484.96
2024-01-18 19:00:00,483.86,491.19,483.7,485.29
2024-01-18 20:00:00,485.04,489.955,484.01,486.845
